date,attraction,city,tourists,type
2011_09,國立自然科學博物館,臺中市,225199,Indoor
2011_09,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_09,臺中國家歌劇院,臺中市,0,Indoor
2011_09,日月潭環潭區,南投縣,379484,Outdoor
2011_09,清境農場,南投縣,83489,Outdoor
2011_09,溪頭自然教育園區,南投縣,166187,Outdoor
2011_09,蓮池潭,高雄市,32000,Outdoor
2011_09,國立科學工藝博物館,高雄市,141029,Indoor
2011_09,高雄市立美術館,高雄市,33125,Indoor
2011_09,旗津風景區,高雄市,0,Outdoor
2011_09,墾丁國家森林遊樂區,屏東縣,21218,Outdoor
2011_09,國立海洋生物博物館,屏東縣,126125,Indoor
2011_09,墾丁海水浴場,屏東縣,23648,Outdoor
2011_09,駁二藝術特區,高雄市,55209,Outdoor
2011_10,陽明山遊客中心,臺北市,16426,Indoor
2011_10,陽明公園,臺北市,39000,Outdoor
2011_10,擎天崗,臺北市,0,Outdoor
2011_10,國立故宮博物院,臺北市,331835,Indoor
2011_10,淡水漁人碼頭,新北市,333974,Outdoor
2011_10,新北市立黃金博物館,新北市,128808,Outdoor
2011_10,國立自然科學博物館,臺中市,311915,Indoor
2011_10,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_10,臺中國家歌劇院,臺中市,0,Indoor
2011_10,日月潭環潭區,南投縣,492307,Outdoor
2011_10,清境農場,南投縣,105746,Outdoor
2011_10,溪頭自然教育園區,南投縣,154848,Outdoor
2011_10,蓮池潭,高雄市,1120000,Outdoor
2011_10,國立科學工藝博物館,高雄市,145488,Indoor
2011_10,高雄市立美術館,高雄市,65838,Indoor
2011_10,旗津風景區,高雄市,0,Outdoor
2011_10,墾丁國家森林遊樂區,屏東縣,19448,Outdoor
2011_10,國立海洋生物博物館,屏東縣,129295,Indoor
2011_10,墾丁海水浴場,屏東縣,22873,Outdoor
2011_10,駁二藝術特區,高雄市,69194,Outdoor
2011_11,陽明山遊客中心,臺北市,10710,Indoor
2011_11,陽明公園,臺北市,40000,Outdoor
2011_11,擎天崗,臺北市,0,Outdoor
2011_11,國立故宮博物院,臺北市,381051,Indoor
2011_11,淡水漁人碼頭,新北市,280212,Outdoor
2011_11,新北市立黃金博物館,新北市,159554,Outdoor
2011_11,國立自然科學博物館,臺中市,342297,Indoor
2011_11,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_11,臺中國家歌劇院,臺中市,0,Indoor
2011_11,日月潭環潭區,南投縣,432344,Outdoor
2011_11,清境農場,南投縣,89840,Outdoor
2011_11,溪頭自然教育園區,南投縣,123378,Outdoor
2011_11,蓮池潭,高雄市,60000,Outdoor
2011_11,國立科學工藝博物館,高雄市,112596,Indoor
2011_11,高雄市立美術館,高雄市,48761,Indoor
2011_11,旗津風景區,高雄市,0,Outdoor
2011_11,墾丁國家森林遊樂區,屏東縣,15435,Outdoor
2011_11,國立海洋生物博物館,屏東縣,81197,Indoor
2011_11,墾丁海水浴場,屏東縣,22873,Outdoor
2011_11,駁二藝術特區,高雄市,85159,Outdoor
2011_12,陽明山遊客中心,臺北市,11148,Indoor
2011_12,陽明公園,臺北市,36000,Outdoor
2011_12,擎天崗,臺北市,0,Outdoor
2011_12,國立故宮博物院,臺北市,390912,Indoor
2011_12,淡水漁人碼頭,新北市,255411,Outdoor
2011_12,新北市立黃金博物館,新北市,125592,Outdoor
2011_12,國立自然科學博物館,臺中市,276012,Indoor
2011_12,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_12,臺中國家歌劇院,臺中市,0,Indoor
2011_12,日月潭環潭區,南投縣,386283,Outdoor
2011_12,清境農場,南投縣,96161,Outdoor
2011_12,溪頭自然教育園區,南投縣,114803,Outdoor
2011_12,蓮池潭,高雄市,62000,Outdoor
2011_12,國立科學工藝博物館,高雄市,107954,Indoor
2011_12,高雄市立美術館,高雄市,42966,Indoor
2011_12,旗津風景區,高雄市,0,Outdoor
2011_12,墾丁國家森林遊樂區,屏東縣,13847,Outdoor
2011_12,國立海洋生物博物館,屏東縣,58885,Indoor
2011_12,墾丁海水浴場,屏東縣,13328,Outdoor
2011_12,駁二藝術特區,高雄市,152506,Outdoor
2012_01,陽明山遊客中心,臺北市,12187,Indoor
2012_01,陽明公園,臺北市,161000,Outdoor
2012_01,擎天崗,臺北市,0,Outdoor
2012_01,國立故宮博物院,臺北市,298037,Indoor
